0, aman tat kaçmamak .  demek demek hiçbir şey tartışmak çözmemek olmak .
1,* odtü mezun olmamak yapılmak 100 şey * madde 101 : pikap kampüs kaçmak
1,1 VIRGUL 5 VIRGUL 18 VIRGUL 47 VIRGUL 93 VIRGUL 191 galiba 2048 yapmak çalışmak
0,11 - 17 yaş grup çocuk yüz 80 yeterince egzersiz yapmamak
1,14 temmuz 1987 queen afyon konser gitmemek de hala kendi queen hayran demek ... yazık
1,18 yaş gelmek 50 yıl VIRGUL 18 30 yaş gelmek ise 1 ay sürmek yemin etmek .
1,19 ağustos cumhuriyet anmak ve ulusal zafer bayram kutlu olmak !
0,2 saat boyunca kalp durmak çocuk hayat dönmek .
1,20 doğumgünü hediye olmak sokak çıkmak hak almak VIRGUL 2020 kıyak .
1,20 milyon şehir metro havaalanı yapmak nasıl başarı ?
0,28 yaş gelmek ama hala harry potter izlemek ağlamak .
0,3 gün nasıl 2 sınav ve 3 ödev teslim var anlam vermemek kafa patlamak 😤 😓
1,3 hamburger cik yemek sadece VIRGUL doymamak
1,3 temmuz bu yan fenerbahçe küme düşmek için mücadele etmek galatasaray VIRGUL tbf almak karar ile maç çıkmamak küme düşmek
1,31 yaş VIRGUL ev top oynamak vazo kırmak VIRGUL performans geçici ama klas kalıcı .
0,4 kişi mide lobi grup bir kebap VIRGUL bir barista VIRGUL bir tatlı VIRGUL bir de italyan uzakdoğu mutfak hevesli VIRGUL sanmak çok renkli bir dükkan açmak bu ekip VIRGUL yatırımcı mesaj atmak 💸
1,5 bardak kahve az değil mi bir beş bardak daha iç istemek
1,6 kez gelmek dişçi çürük rapor almak :)
1,7 yıl görev olmak rektör üniversite kronik sorun çözmek için zaman ve irade olmak ihtiyaç olmak vurgulamak
0,Jean-François DOUBLE QUOTE başak toplamak kadın DOUBLE QUOTE isim eser tuval üzeri yağlı boya ile yapılmak ve gün paris orsay müze sergilenmek
0,satın-almamak VIRGUL sahiplenmek ! 🐶 🐱
0,abartmak küçültmek milyar kez daha kötü !
1,abd köle kitle tüketim yaygın kaldırmak
0,abd polis sert müdahale maruz kalmak siyah adam çevre göz ön hayat kaybetmek .
1,abd türkiye ekonomik saldırı yapmak biz saldırmak ülke para yatırım yapmak siz ironik değil mi ?
1,acil kodlama öğrenmek VIRGUL hep ! gelecek kodlama bilmemek tuz maden yollamak .
0,adam kalkmak benzinlik orta pompalı 17 yaş bir kız öldürmek VIRGUL savunmak da DOUBLE QUOTE eski sevgili sanmak DOUBLE QUOTE
1,afrika açlık 5 dakika bitirmek insan VIRGUL bahşiş vermemek için sıra girmek .
0,aksaray otizm çocuk aile konuşmak : çocuk okul arka kapı sokulmak .
1,akşam beri sivrisinek 3 tüp kan almak . inşallah sonuç temiz çıkmak .
0,alarm sabah 6 kurmak artık yatmak gerek .
1,almak nefes vergi vermemek daha ne istemek ?
1,almanya biz kıskanmak
0,alın DOUBLE QUOTE sen kazmamak VIRGUL kazılı kuyu DOUBLE QUOTE yazmak bir ruh hal .
1,ambulans bir çocuk çarpmak o sakatlamak .
1,amerika diktatör gelmek VIRGUL yine DOUBLE QUOTE diktatör ülke gelmemek diye silahlanmak DOUBLE QUOTE demek aynı kişi diktatör desteklemek .
1,amerika en çok gasp etmek kitap incil .
1,amerika son 10 yıl uyuşturucu mücadele için vermek 780 milyon dolar ile uyuşturucu %10 oran yaygın sağlamak ...
0,anksiyete çok hayat var ama güçsüz görünmek korku anlatmamak .
0,anne sık sık sarılmak
0,antalya hayat kaybetmek aile ev siyanür bulgu rastlamak .
0,antartika kara üzeri en derin nokta bulunmak .
1,antibiyotik direnç bakteri ne koma girmek hasta virüs kurtarmak .
0,apple çevrimiçi dizi ve film platform apple-tv-plus 100 fazla ülke kullanım açılmak .
1,araba çarpmak falcı VIRGUL araba nere gelmek görmemek (!) söylemek .
1,araba çarpmamak diye yol kaçmak adam üst ağaç devrilmek .
1,aralıklı-açlık demek şey denemek VIRGUL 3 dakika herhangi bir sorun yok gibi .
0,arkadaş DOUBLE QUOTE şehirlerarası yol kenar avm yürümek kahve termos bira içmek DOUBLE QUOTE gibi bir etkinlik üretmek VIRGUL ne hissetmek bilmemek .
0,arkadaş bir film kulüp 🎬 başlamak VIRGUL her gün bir film izlemek sonra da inceleme okumak .
0,arkadaş su içmek nasıl hatırlamak ben böbrek ağrımak kadar fark-etmemek susuz olmak
0,artık en sevmek çikolata üretmek kesmek :QUOTE(
0,artık hayal-kırıklık bile uğramamak VIRGUL DOUBLE QUOTE yine mi VIRGUL peki . DOUBLE QUOTE demek yol devam etmek .
1,asker gitmemek için 8 yıl işletme okumak adam israil girmek demek .
1,aslında ev çok sıkılmamak insan ama aynı marka 1 kilo 2 pirinç paket biri 7558 diğer 7676 tane var .
0,aslında sessiz insan yok VIRGUL yanlış ortam var .
1,at yıl aç susuz bırakmak fayton VIRGUL aç grev girmek .
1,atam bu millet görmek samsun pide yemek istanbul dönmek .
1,ateist olmak hal din ders hep en yüksek not almak VIRGUL ironi böyle !
0,atlasglobal uçmak 21 aralık yeniden başlamak
1,ayak serçe parmak bakmak gülmek diye mi var yoksa bir yer vurmak diye mi ? başka bir amaç olmamak emin 😅
1,aynen hoca ben kütüphane yer bulmak hiç sevmemek zaten 3 saat bir gelmek olmak da ora çanta atmak .
0,açık almak tayland bilet almak ilk uçak tayland 20 gün tatil gitmek
1,bahamalar tatil gelmek çift VIRGUL yan su getirmek ne kadar da komik .
0,bahar alerji dolayı göz dolmamak arkadaş düz ağlamak
0,bakmak ki ara ben çekmemek hatta kıskanmak oluşmak başlamak VIRGUL devam böyle
1,bakmak sen bakmak bakmak nasıl da masum
0,bale akademi öğrenci kilo almamak için sigara içmek tavsiye etmek .
0,balkan şampiyona milli koşmak ercan arslan türk atlet ara tüm zaman en iyi altıncı süre koşmak . 🇹🇷 🇹🇷 🇹🇷
0,banyo telefon konuşmak 13 yaş kız çocuk elektrik akım kapılmak VIRGUL kısa süre hafıza kaybetmek .
1,basketbol icat etmek koç VIRGUL hayat hiçbir basketbol oyun kazanmamak .
0,bazı bitki ilaç kanser tedavi yarar çok zarar vermek .
0,bağımlı köken daima travma ve çocuk yaşamak sorun dayanmak .
0,bağırsak bakteri kanser tedavi güçlenmek .
1,başka düşünce duymak tahammül etmemek biri VIRGUL faşist diye bağırmak .
0,başka hayat burun sokmak sevmek ne çok insan var şu memleket .
0,başkan emin kuyu kazmak adam sevmek sevmek yardım etmek .
0,başlamak gibi sinir kriz geçirmek bilmek ama arkadaş toplanmak vampir - köylü oynamak özlemek :QUOTE(
0,bbc seçim haber bilgisayar nasıl yazmak ?
0,bebek 3 saat yaşamak anne VIRGUL 63 gün boy birikmek süt bağışlamak .
0,belediye normal süreç toplu-taşıma kullanım azalmak sonuç artmak trafik rahatlamak için fazla bisiklet yol yapmak başlamak .
1,belki üst bir tır geçmek ...
0,belçika bilim adam VIRGUL kemoterapi kanser üzeri çalışmak .
0,belçika ordu zırh eklemek araç kısa boy şoför bulmak zor .
0,belçika yoksul aile çocuk zengin çocuk daha çok antidepresan ilaç kullanmak :(
1,ben böyle uslu (!) bir çocuk görmemek .
0,ben floransa yağmur yıkamak
1,ben hep 50 lira almak kardeş ben etkilememek
1,ben her zaman yalan söylemek VIRGUL doğru söylemek bile .
1,ben ilkokul beri sosyal izolasyon uygulamak zaten VIRGUL ben sıkıntı yok .
1,ben kadın erkek eşit demek o kadın çalışmak çocuk bakmak diye esnek saat ve işyeri kreş demek
0,ben nerede yanlış yapmak acaba ya
0,ben siz kitap orta okul yıl okumak başlamak .
1,ben zaten uşak değil tarhana inanmak
1,bence diyanet iş başkan tuğçe kazaz olmak VIRGUL nasıl olmak 4 din bilmek .
1,beyaz siyah yapılmak ırk hakkında konuşmak ne kadar da komik .
0,beyoğlu lodos etki bir bina çatı uçmak 😱
1,bilgisayar klavye algılamamak için VIRGUL klavye geri tuş basmak istemek .
0,bilim adam buzdolabı bir yıl dayanmak yeni elma tür keşfetmek .
0,biliminsan pek çok ülke koronavirüs salgın rakam toplamak bir bilgisayar model geliştirmek .
0,biliminsanı şu uyku illet bir çözüm bulmak artık .
1,bir adam nargile içmek sonra nöbet geçirmek VIRGUL seri köz getirmek heralde VIRGUL fazla seri getirmek böyle olmak
1,bir ara bir hoca ile makale yazmak demek . makale ben yazmak . makale yayınlamak . bilmek bakmak makale ne yok ? ad .
1,bir ara şizofren VIRGUL ama bu ara iyi .
1,bir daha en yakın kayıp eşya büro bırakmak denemek VIRGUL öksüz kalmamak
1,bir ilişki bitmek sebep olmak orantısız sevgi kullanım
1,bir insan kilo mi almak dememek VIRGUL o gitmek sonra arka konuşmak artık öğrenmek şu nezaket !
